Designator,Mid X,Mid Y,Rotation,Layer
R806,78.776032,-5.599961,180.0,top
R807,105.029,-18.796,0.0,top
R812,51.816,-40.132,180.0,top
R813,51.816,-29.083,270.0,top
R814,76.962,-13.462,180.0,top
R815,76.962,-9.144,0.0,top
R816,126.2145,-18.88944,0.0,top
R817,124.968,-14.478,180.0,top
R818,135.636,-2.794,180.0,top
R819,131.445,-19.812,270.0,top
R822,136.000246,-20.769614,0.0,top
R823,129.413,-6.604,180.0,top
R824,134.783046,-8.388699,270.0,top
R827,129.286,-9.525,180.0,top
R901,114.681,-25.801282,270.0,top
R902,160.401,-15.6445,270.0,top
R903,119.798294,-34.036,0.0,top
R904,156.083,-47.371,0.0,top
R905,114.681,-37.084,270.0,top
R906,161.925,-34.036,270.0,top
R907,118.999,-25.801282,90.0,top
R908,160.401,-21.844,270.0,top
R909,110.363,-25.801282,270.0,top
R910,149.987,-15.8515,270.0,top
R911,110.363,-37.084,270.0,top
R912,146.05,-33.990034,270.0,top
R913,106.049434,-25.801282,90.0,top
R916,149.098,-21.844,270.0,top
R919,115.189,-51.054,270.0,top
R920,132.207,-25.8045,270.0,top
R921,156.845,-15.8515,270.0,top
R922,110.617,-51.054,90.0,top
R923,150.241,-47.244,180.0,top
R924,131.855282,-36.322,270.0,top
R925,157.099,-34.036,270.0,top
R926,136.568286,-25.810492,90.0,top
R927,156.845,-21.844,270.0,top
R928,150.241,-50.673,0.0,top
R929,153.543,-15.8515,270.0,top
R930,127.889,-25.8045,270.0,top
R931,152.214894,-34.021426,270.0,top
R932,153.543,-21.844,270.0,top
R933,127.537282,-36.322,270.0,top
R934,123.579988,-25.801282,90.0,top
S201,382.778,-2.452,180.0,top
U1101,138.628,-93.726,90.0,top
U1201,187.606,-100.1125,180.0,top
U1202,196.982582,-110.236542,180.0,top
U1301,117.475,-101.8785,270.0,top
U202,344.7815,-84.250811,0.0,top
U203,353.06,-66.470811,0.0,top
U301,355.596,-17.284,270.0,top
U302,374.136,-6.096,90.0,top
U303,360.354,-34.706,180.0,top
U401,388.655846,-52.243954,0.0,top
U402,391.08662,-109.413424,90.0,top
U403,369.4375,-76.52,0.0,top
U404,369.062,-109.3235,90.0,top
U502,24.6895,-42.926,180.0,top
U602,259.2305,-47.371,180.0,top
U701,226.946111,-8.255,90.0,top
U702,227.491566,-54.711005,90.0,top
U703,209.870045,-9.042995,90.0,top
U704,210.4155,-54.737,90.0,top
U705,192.913,-9.017,90.0,top
U706,193.458455,-55.219005,90.0,top
U707,175.913,-9.144,90.0,top
U708,176.458455,-55.346005,90.0,top
U802,83.693,-12.3698,270.0,top
U803,58.039,-34.798,270.0,top
U804,143.637,-14.478,90.0,top
U903,121.031,-43.942,270.0,top
U904,154.520997,-42.164,270.0,top
VR401,393.954,-79.396,270.0,top
